nameuser,ratinguser,dateuser,textreviewuser,propertyinfo,propertytype
Daniel,8.8,20-Dec-21,"Good location, good price. Good location, good price.",de Sofia Dago,HOTELS
Erlina S.,9.7,21-Dec-20,,La Grande Apartment By Handoko,APARTMENTS
trianne a.,9.7,22-Nov-20,good place to spend quality time with family,La Grande Apartment By Handoko,APARTMENTS
Tommy A.,9.7,07-Nov-20,nice place for staycation __ thanks,La Grande Apartment By Handoko,APARTMENTS
Maya S.,9.7,01-Aug-20,,La Grande Apartment By Handoko,APARTMENTS
Muhamad A. A.,8.8,23-Mar-22,Ok lah for 1 day rest for a while. The bathroom is a little horror but ok xD.,La Grande Apartment By Handoko,APARTMENTS
Rosyani,9.7,12-Mar-22,The room is very comfortable especially in the middle of the city~ .,La Grande Apartment By Handoko,APARTMENTS
Dedi H. P.,9.7,01-Mar-22,Good almost perfect. It's just that the hot water sometimes disappears when taking a shower.,La Grande Apartment By Handoko,APARTMENTS
Aripan N. M. R.,8.5,01-Feb-22,"Strategic location, in the middle of the city, near the bec mall, BIP, Balkot, close to the station, and others. Unfortunately, the only thing lacking is blankets and towels which are usually provided.",La Grande Apartment By Handoko,APARTMENTS
Sherly Y.,8.8,29-Jan-22,"The rooms are according to the price, there is hot water too, the environment is also good and close to everywhere. Mr. andi is also kind and friendly, overall good! Thank you.",La Grande Apartment By Handoko,APARTMENTS
Firli F.,9.7,07-Dec-21,"Very happy, it's strategic to be able to go to the mall, there is an Indomaret under the aprtm, KFC in front of it.",La Grande Apartment By Handoko,APARTMENTS
,,,,Deluxe Studio room at La Grande Tamansari Apartment By Travelio,APARTMENTS
ROSALINDA R.,8.5,20-Mar-22,"I will be staying here again. Strategic location, friendly hotel staff, comfortable room. Keep tje good job.",Best Western Premier La Grande Hotel,HOTELS
Andi A. S.,8.5,18-Mar-22,"Service are moderate, hopefully to see it getting improved ﾉ But the Room was nice and good point of View, The service at the restaurant needs improvements on the way welcoming the Guest ______.",Best Western Premier La Grande Hotel,HOTELS
ZARAH J. D.,9.7,13-Mar-22,Menu for breakfast so delicious & the rooms are clean.,Best Western Premier La Grande Hotel,HOTELS
Nadhira T.,9.4,10-Mar-22,The room was worth the price so all was good.,Best Western Premier La Grande Hotel,HOTELS
Muhammad A. A. E.,8.7,01-Mar-22,"We have quite satisfying experience today in Best Western Premier La Grande Hotel. The location is very strategic, the food is good, the facilities are good. Thank you Mr. Uus for asking our feedback. But unfortunately the spa is still closed and in swimming pool no staff standing by there so we didn't get swimming towel and there are some guest that smoking there, personally it's disturbing for someone who has asthma and baby there.",Best Western Premier La Grande Hotel,HOTELS
Karina M.,8.5,01-Mar-22,"The warm and semi indoor pool are great, my son really love it. The room are OK with Great View, I took executive room, with bathup. The food were OK. The location were good. But, the bed cover so old, parking staff not nice to us.",Best Western Premier La Grande Hotel,HOTELS
Giovanni,8.5,23-Feb-22,Nice place to stay. But the water heater is so bad.,Best Western Premier La Grande Hotel,HOTELS
Defrizon,8.5,06-Feb-22,,Best Western Premier La Grande Hotel,HOTELS
deddy c.,9.4,04-Feb-22,"Good service, good city view. Overall this hotel is great.",Best Western Premier La Grande Hotel,HOTELS
deddy c.,9.7,02-Feb-22,"Service is good, city view from room is wonderful.",Best Western Premier La Grande Hotel,HOTELS
,,,,Homey and Pleasant 2BR Apartment at Tamansari La Grande By Travelio,APARTMENTS
,,,,Exquisite 2BR Apartment at Tamansari La Grande near BIP,APARTMENTS
Ancillia,6,30-Nov-20,"Old check-in, no response from customer service, no clarity, check-in time has been delayed, can only check-in after 18:00 at night, Must check-out exactly 12:00, must pay 500 thousand deposit even though he only stayed overnight. No cs can be called, reply to chat takes a long time. very bad.",2BR Brand New Tamansari La Grande Apartment Bandung By Travelio,APARTMENTS
Mohamad H. Z.,6,10-Feb-22,"The bathroom was dirty, the hot water not wok well.",New B Hotel Bandung,HOTELS
Wiseman S.,5.1,17-Nov-21,"Linen dirty like it didn't change or washed. Many spot ex liquid in the linen, and hairs around. AC broken. Toilet broken, leak and smell bad. Room smell smoke. Bed smell bad. I just laid a towel on bed and sleep on it. I've got 30k during flash sale and still I decided not to use this facility. I won't stay here even it 's free.",New B Hotel Bandung,HOTELS
Arya F.,5.1,29-Aug-21,Dirty and dusty.,New B Hotel Bandung,HOTELS
Billy M. P.,5.5,09-Aug-21,"Cockroach, broken AC, dusty bed, no amenities (but its OK).",New B Hotel Bandung,HOTELS
Agung F. A.,8.5,26-Feb-20,ok everything fine. friendly nice location. affordable,New B Hotel Bandung,HOTELS
Lina K. P.,6,21-Jan-20,"It's basically airy room standard but they donﾕt have soap and tooth brush. they donﾕt give the plug in for the electricity for us to charging our phone at room, they just have it in the bathroom. sucks! they give us towel while we are just arrive in front of the desk and we bring that up alone to our room",New B Hotel Bandung,HOTELS
Ahmad S.,5.8,18-Nov-19,"dirty & small running water. dusty and not clean. But considering the rate, what can I say?",New B Hotel Bandung,HOTELS
Iko P. R.,6.4,29-Oct-19,"I arrived at 4 pm. The staff was actually friendly and helpful but the first time we got a room with an air conditioner not function really good, we felt hot and stuffy. We wait almost 30 minutes to make sure the air conditioner work or not. We ask the staff to change the room, so we got the second room. Overall it is good, but we got another problem the next day precisely in the morning. Water in the bathroom very small, we struggled to take a shower. It really bother us.",New B Hotel Bandung,HOTELS
Faris S.,8.8,21-Oct-19,Strategic location and have easy access to Gasibu,New B Hotel Bandung,HOTELS
Sutiana,8.5,01-Oct-19,,New B Hotel Bandung,HOTELS
Laksmi P.,6,30-Jan-22,,Geulis Boutique Hotel & Cafe,HOTELS
Rina H.,9.7,27-Nov-21,,Geulis Boutique Hotel & Cafe,HOTELS
Farah F.,9.7,02-Mar-20,,Geulis Boutique Hotel & Cafe,HOTELS
Muchlis R.,8.5,09-Jan-20,Good Hotel and nice view with valuable price,Geulis Boutique Hotel & Cafe,HOTELS
Yoyo I.,8.5,06-Jan-20,Nice clean hotel. Room comfortable.,Geulis Boutique Hotel & Cafe,HOTELS
HIDAYATURRAHIM,10,28-Oct-19,,Geulis Boutique Hotel & Cafe,HOTELS
yan m.,9.7,20-Oct-19,"clean, big, and comfortable room. breakfast was good.",Geulis Boutique Hotel & Cafe,HOTELS
hendriyono,8.5,01-Sep-19,,Geulis Boutique Hotel & Cafe,HOTELS
Tata,9.1,05-Aug-19,We stayed in family room. Nice ambient. Room was okay. Except the living room carpet looks dull. Breakfast was fine. Parking was adequate. The lift was small and the lift doors required to add more timer to not close so fast. Overall is good and recommended. Will come back again.,Geulis Boutique Hotel & Cafe,HOTELS
Irianto,8.5,30-Jul-19,"good room, clean, and good services",Geulis Boutique Hotel & Cafe,HOTELS
,,,,Kost ST 27 (Female Only),GUEST HOUSES
,,,,Kost ST 29 (Male Only),GUEST HOUSES
Nukila E.,8.8,09-Mar-22,"__ feels like home, nearby to the restaurants or cafes, snack are available at the dining table, clean and comfy. Wifi is very good if you work from the hotel __",ERENHA Guest House,GUEST HOUSES
Gumgum g.,8.5,10-Jan-22,,ERENHA Guest House,GUEST HOUSES
Imelda L.,9.7,06-Jan-22,I stayed with my family here for 3 nights. We booked 1 family room and 1 deluxe king room. We really enjoyed our stay here. Both rooms were clean and spacious. The location's perfect. Will definitely stay here again in the future. Thanks Enreha Guest House :),ERENHA Guest House,GUEST HOUSES
Irvan S.,9.7,21-Oct-21,,ERENHA Guest House,GUEST HOUSES
Ruby,9.1,04-Oct-21,"Clean room, strategic place, cheap but satisfy. Top Bgt deh __.",ERENHA Guest House,GUEST HOUSES
Luckitawati S.,10,02-Oct-21,"Best stayed in bandung, rational price, great location, free food.",ERENHA Guest House,GUEST HOUSES
Jimmy A. P. S.,9.7,03-Jul-21,"This accommodation is so homy, the room is clean and the staff is friendly. Looking forward to stay there in the future when we visit Bandung.",ERENHA Guest House,GUEST HOUSES
Yahya H.,9.4,23-Jun-21,This hotel located in the town near the roadway and has easy parking access. The room was spacious and Comfy. All great review for this hotel is definitely true,ERENHA Guest House,GUEST HOUSES
Luckitawati S.,10,09-Jun-21,"Very nice guest house, won't disappoint you",ERENHA Guest House,GUEST HOUSES
indra h.,8.8,29-Apr-21,"Comfy, spacious, near to to restaurants, cafe. Will be back someday.",ERENHA Guest House,GUEST HOUSES
Annisa A.,8.5,14-Mar-22,"The moment I parked my car, there is a generous yet smiley security welcoming us. Pak Gumilar offered help to park which is extra miles __ receptionist are friendly and really nice. The room is spacious yet got a beautiful view. The breakfast was not really satisfactory since I was expecting western food but we are blessed_ overall 9.8/10!",Hotel Neo Dipatiukur by ASTON,HOTELS
Frassetiyo,10,26-Feb-22,,Hotel Neo Dipatiukur by ASTON,HOTELS
Mohammad A. F.,8.8,24-Feb-22,That 's enough for the price. The food also good.,Hotel Neo Dipatiukur by ASTON,HOTELS
zattuindrawati,9.7,21-Feb-22,,Hotel Neo Dipatiukur by ASTON,HOTELS
M Fahmi F.,10,14-Feb-22,"Great place, interior and exterior, even the breakfast menu is new vibe than another places.",Hotel Neo Dipatiukur by ASTON,HOTELS
Aditya P.,9.4,11-Jan-22,"One of my favorite hotels when in Bandung. Excellent location near the busy street, lots of eating place, easy to traveling with local public transportation. Very helpful staffs (especially front office and housekeeping). Thank you for changing my room immediately. Nice and clean room with clean linen (unfortunately they can't provide me with soft pillows as I requested), hot water running freely and also wifi. Delicious breakfast with verryy helpful staffs (especially kitchen staffs that help me to get my just one hot hard boiled egg).",Hotel Neo Dipatiukur by ASTON,HOTELS
Syamsir A.,6.3,06-Jan-22,"I ordered this hotel for my parents because it has a CHS sign and I thought since it 's by Aston it should be clean. However, I heard from my parents that the sheets and bed cover was dirty and the towels were damped when they checked-in. It was sad to hear that because I wanted my parents to have the best stay when they come in but instead it was like that.",Hotel Neo Dipatiukur by ASTON,HOTELS
Nadya A. P.,8.5,29-Dec-21,The service was nice. Bedroom and bathroom are also clean. Breakfast is great,Hotel Neo Dipatiukur by ASTON,HOTELS
Margareth D. A.,8.5,27-Dec-21,"Good experience to stay, delicious breakfast and friendly staff.",Hotel Neo Dipatiukur by ASTON,HOTELS
FiaPalace,9.4,26-Dec-21,"Staffs very friendly, laundry is clean, a lot of food experience around the place, near to the convenience store & ATM, near to Travel Agent, room is clean, bathroom also clean. Definitely will come back again if I visit Bandung.",Hotel Neo Dipatiukur by ASTON,HOTELS
Diah A. A.,9.4,30-May-21,,Rumah Aca,GUEST HOUSES
Christina A.,9.7,03-Jan-20,"Very recommended! I stayed 2 nights, the room is very spacious. It has 1 double bed and sofa bed. They provided 4 pillows 2 bolsters and 2 blankets. And also the kitchen equipped with water dispenser, microwave, sink, fridge, and all the kitchen ware. The place is in the city center. You can park your car in basement, and itﾕs very good in rainy season. For family of 4 itﾕs perfect!!!",Rumah Aca,GUEST HOUSES
Marcella D.,9.4,24-Apr-19,"I am actually impressed by the facilities theyﾕre giving. We were arrived in the afternoon and welcomed by a very nice receptionist. I booked a Studio Double Room, they have sink, microwave, mineral water in dispenser, coffee & tea, refrigerator, tv and a couch, (not to forget the comfy bed). And its very spacious for myself alone. The bathroom has a bathtub and separated shower (which is really nice), they provide a shampoo & liquid soap, and also towels. But they do not provide toothbrush and toothpaste, (which is actually okay for me, because I always bring mine) but in case you donﾕt have it with you, buy one travel toothbrush and toothpaste, it wonﾕt be expensive anway. The location, it is located nearby the ITB University. So do not have to be worry about food, youﾕll find plenty around the area. Everything in this place is great. Just a little note that the parking lots is limited, so you might park outside the building on busy days (but it is safe tho, I parked mine outside too at the time). And also if youﾕre planning to go outside or come back to the hotel / guesthouse a little late, you might need to let the receptionist or the keeper know before you leave. So that you wonﾕt locked outside like I experienced. Long story short, itﾕs all good with a little notes here and there. Enjoy your stay!",Rumah Aca,GUEST HOUSES
Sry R. S.,9.4,22-Nov-18,"When I first arrived the main door is closed and I just follow to the only open door which is the garage door. Luckily there is someone there to guide me, and as it turned out the guest house is mix with kost-kostan. So yea a little caution for you. As for the room itself, it is great as stated in the photo, I booked for the double room with private bathroom, all is good. The cleannes, freeflow water as they use galon, channel TV, free wifi, microwave, cooking tools, sink, all the things you need are provided. Worth the money I guess, though maybe it could be cheaper as there is no breakfast included. But it's all good. It is also close to lots of restaurants and warungs and ITB of course. Recommended.",Rumah Aca,GUEST HOUSES
Mega P. F.,9.1,25-Jul-17,Nice experience and hospitality from all the staff,Rumah Aca,GUEST HOUSES
Nugrahvidha P.,8.9,03-Jul-17,The place is so clean and comfortable.,Rumah Aca,GUEST HOUSES
Tetarani F.,8.9,03-Oct-16,"I arrived at this hotel around 8.30pm, and the receptionist was closed. Kindly hard to find the staffs. The food was standard. Double-studio bedroom is very recommended for you who bring children. The room is clean. There are also many nice resto and food stall around here, if you don't like the breakfast.",Rumah Aca,GUEST HOUSES
Ari D.,8.7,12-Sep-16,"There is no bicycle for rent. We have to ask for water, towels and the light globe. But the hotel is nice and we enjoy the stay here.",Rumah Aca,GUEST HOUSES
Elfitri A. C. P.,9.1,23-Aug-16,good ambience for 2 nights stay ! gonna going back for stay more,Rumah Aca,GUEST HOUSES
Elfitri A. C. P.,9.4,07-Aug-16,Feel like at home! Gonna stay there for the second time.,Rumah Aca,GUEST HOUSES
Alma S.,8.5,14-Jan-22,,Hotel Riau Bandung,GUEST HOUSES
iwan h.,5.8,08-Jan-22,So loud and so much noise came from the bar even during workday night. A place for stay up late hopper.,Hotel Riau Bandung,GUEST HOUSES
Guest-7hj7z1,9,01-Nov-21,"Friendly staff, unfortunately the sound from nearby cafe is so loud, made me hard to get a nice sleep. Bathroom need some repairs.",Hotel Riau Bandung,GUEST HOUSES
Adhitya P.,6.3,01-Nov-21,"No signal, no wifi, dirty towel, no pillow cover __",Hotel Riau Bandung,GUEST HOUSES
AGUS S. P. H.,10,01-Sep-21,,Hotel Riau Bandung,GUEST HOUSES
Ricky H.,8.4,28-Sep-19,"This is an old hotel - but still a comfortable stay for my experience. Location aspect has become its prioritized selling point. Ah, there is Circle K 24 hours just next door - very helpful ____",Hotel Riau Bandung,GUEST HOUSES
Yulia,5.1,08-Sep-19,,Hotel Riau Bandung,GUEST HOUSES
Anggi P. K.,6.3,31-Aug-19,Super noisy! You can hear loud music from the bar especially if you stay on 2nd and 3rd floor. It is almost nonstop (they promised it will end by 2.30 am but still they didn't stop until around 3 am). Aren't hotels supposed to be place to sleep?,Hotel Riau Bandung,GUEST HOUSES
SOFYAN S.,8.5,30-Jul-19,,Hotel Riau Bandung,GUEST HOUSES
abdullah m.,6,14-Jun-19,the room wasnﾕt clean. there were noises from bar. the bathroom was dirty. the towels were dirty,Hotel Riau Bandung,GUEST HOUSES
